Year,Month,btc_market_price,btc_total_bitcoins,btc_market_cap,btc_trade_volume,btc_blocks_size,btc_avg_block_size,btc_n_orphaned_blocks,btc_n_transactions_per_block,btc_median_confirmation_time,btc_hash_rate,btc_difficulty,btc_miners_revenue,btc_transaction_fees,btc_cost_per_transaction_percent,btc_cost_per_transaction,btc_n_unique_addresses,btc_n_transactions,btc_n_transactions_total,btc_n_transactions_excluding_popular,btc_n_transactions_excluding_chains_longer_than_100,btc_output_volume,btc_estimated_transaction_volume,btc_estimated_transaction_volume_usd,Day,Casino,EGM,Keno,Lottery,Wagering,btc_per_month
2004,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,45662132.51,145766780.77,6836926.58,32451660.78,27298552.41,0
2004,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,36652961.84,143627917.85,4215418.49,24712127.1,26147748.54,0
2004,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,42992131.92,142973108.43,6607623.55,34207867.17,27136203.3,0
2004,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,42630790.39,148308317.79,7248085.85,26286702.4,32435660.13,0
2004,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,49634585.54,138325557.78,7042068.89,29523915.99,32687899.78,0
2004,12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,43873901.12,144977885.63,7876858.23,40575334.88,26783104.74,0
2005,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,51023549.57,133517796.47,5349839.61,26856618.58,28944745.5,0
2005,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,48248803.59,123229703.53,6678615.82,25848987.19,23944173.19,0
2005,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,46427671.91,136984237.96,7006511.16,24161887.87,27877929.24,0
2005,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,43977376.48,139169952.95,7114377.96,32287369.23,27715762.18,0
2005,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,46838577.11,138649209.86,7089598.8,25106479.98,26213341.91,0
2005,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,51462904.64,141937466.16,6847656.65,29354724.3,26515726.54,0
2005,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,41615806.61,154154409.13,7925984.47,29649522.29,26606019.11,0
2005,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,50022616.76,159467387.79,7809003.22,29438333.21,27017994.36,0
2005,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,43036002.2,150628366.94,7769423.03,31625057.9,26864367.15,0
2005,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,53827929.35,149307407.78,8172273.84,28120680.66,32499853.7,0
2005,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,48779247.32,144024974.23,7906426.89,29063757.97,33966531.89,0
2005,12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,43518051.64,150314973.31,8698330.88,37942863.18,28790918.17,0
2006,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,53070756.93,142770118.16,3788457.41,25084357.18,27252262.53,0
2006,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,45234162.39,130956388.03,4833989.96,26850361.5,24402580.21,0
2006,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,52552133.24,149444270.68,7412837.18,27767892.96,27256783.35,0
2006,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,49606730.92,144058611.9,7118714.41,33028356.1,30652649.9,0
2006,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,49902738.05,147511520.41,7206315.64,29618283.86,27796536.67,0
2006,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,47234227.56,152922072.29,7370544.69,34471892.06,29527425.68,0
2006,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,36984421.96,145104714.43,4400949.3,33969470.24,29684428.79,0
2006,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,45146955.53,151047382.06,7695652.93,31195002.51,29174188.9,0
2006,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,38787910.03,142381455.07,6358433.11,34176282.75,30825223.77,0
2006,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,43790527.19,142102541.27,7530808.56,28822078.43,32942725.44,0
2006,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,47486084.8,138560044.41,7817987.86,30857116.02,38563058.63,0
2006,12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,39115958.87,142594054.91,6281365.6,39986323.03,30711574.99,0
2007,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,52729843.82,131305569.05,7105724.55,27829414.79,28758384.57,0
2007,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,45548695.35,122712666.76,6392484.54,31032745.85,24872908.32,0
2007,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,43219192.97,140965569.64,7554177.94,37107466.76,31602705.71,0
2007,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,43722277.01,132457377.66,4178239.93,26763752.34,29279412.24,0
2007,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,45317220.21,142309664.63,6352158.98,36219672.82,29585404.78,0
2007,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,43953960.72,145116189.29,7674552.08,31166510.93,31673858.62,0
2007,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,41293343.48,154618456.81,8270091.33,32961042.9,29480839.58,0
2007,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,48892699.43,169901248.52,7019244.71,28341866.14,27099063.57,0
2007,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,48218292.47,153346138.29,8800974.57,33158239.31,28520175.35,0
2007,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,45839923.88,155153567.07,7567666.88,35471554.11,29504591.71,0
2007,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,46676613.89,156173881.82,5989079.85,31668126.09,36228295.41,0
2007,12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,42462210.26,153519319.3,8296000.65,40717597.84,31703427.68,0
2008,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,53010849.77,143035950.75,8041064.29,30060869.08,30502408.01,0
2008,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,56070962.16,137128789.86,7092797.86,28525014.16,27655214.06,0
2008,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,41212686.22,141562811.76,5443109.61,29640572.18,33258227.43,0
2008,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,45187649.03,140462070.72,6975253.85,40321231.48,30836354.05,0
2008,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,40006404.06,151040897.6,6969779.67,39946553.21,32916192.35,0
2008,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,51473928.96,146274256.48,5784304.99,35216698.37,32187861.11,0
2008,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,44317334.34,167709529.73,7666273.64,41132760.8,31316191.64,0
2008,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,48709106.88,173316608.34,8669989.05,32689293.55,34250998.95,0
2008,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,41292263.7,154431834.16,6318557.84,29953095.13,31265506.25,0
2008,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,53887685.8,163918374.98,8122227.81,30220123.52,36803801.66,0
2008,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,48864417.21,152298611.53,8071769.02,35170115.15,43624472.52,0
2008,12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,43893512.37,167018710.58,8866234.9,32105546.67,32039083.25,0
