Date,Open,High,Low,Close,Volume,Market Cap
"Feb 20, 2018",24.47,29.84,23.59,23.84,"1,697,590","31,586,100"
"Feb 19, 2018",20.37,27.24,20.28,24.42,"1,940,870","26,292,900"
"Feb 18, 2018",22.69,23.78,20.43,20.43,"145,246","29,298,400"
"Feb 17, 2018",21.24,23.32,20.99,23.25,"212,041","27,463,300"
"Feb 16, 2018",22.06,22.68,20.55,21.25,"106,464","28,525,200"
"Feb 15, 2018",22.04,23.17,21.13,22.16,"186,324","28,493,800"
"Feb 14, 2018",20.37,22.31,19.81,22.10,"382,246","26,338,300"
"Feb 13, 2018",21.73,22.22,20.18,20.18,"284,117","28,094,400"
"Feb 12, 2018",18.43,24.17,17.81,21.98,"1,239,570","23,825,800"
"Feb 11, 2018",19.85,20.74,16.24,18.31,"596,317","25,660,900"
"Feb 10, 2018",16.17,21.70,15.41,19.39,"1,233,990","20,936,000"
"Feb 09, 2018",15.57,16.65,14.43,16.16,"243,876","20,163,900"
"Feb 08, 2018",15.49,16.81,15.39,15.53,"259,982","20,063,700"
"Feb 07, 2018",15.02,18.17,14.15,15.84,"256,991","19,444,500"
"Feb 06, 2018",13.37,15.49,11.71,15.15,"450,845","17,313,100"
"Feb 05, 2018",15.65,15.95,12.80,13.35,"198,028","20,267,000"
"Feb 04, 2018",20.01,20.01,14.92,15.80,"195,834","25,913,800"
"Feb 03, 2018",17.98,21.00,16.89,19.95,"541,258","23,299,200"
"Feb 02, 2018",18.96,19.13,13.82,17.77,"616,822","24,571,300"
"Feb 01, 2018",21.65,23.33,17.69,19.01,"462,444","28,049,100"
"Jan 31, 2018",22.45,22.86,21.17,21.60,"331,054","29,089,000"
"Jan 30, 2018",26.89,29.73,21.97,22.64,"1,308,300","34,838,200"
"Jan 29, 2018",29.62,29.72,26.55,26.88,"244,029","38,386,000"
"Jan 28, 2018",28.89,30.40,27.57,29.65,"653,506","37,431,100"
"Jan 27, 2018",26.56,32.78,25.18,28.68,"2,537,640","34,417,900"
"Jan 26, 2018",27.79,28.39,25.32,26.59,"225,736","36,013,400"
"Jan 25, 2018",28.87,29.91,25.87,27.87,"390,559","37,406,300"
"Jan 24, 2018",27.11,30.32,26.12,28.27,"537,748","35,126,400"
"Jan 23, 2018",27.43,28.75,24.66,27.12,"341,714","35,551,000"
"Jan 22, 2018",27.34,30.37,25.50,27.40,"729,378","35,425,300"
"Jan 21, 2018",34.62,38.42,26.66,27.54,"2,894,980","44,860,700"
"Jan 20, 2018",33.88,36.08,32.67,34.45,"849,290","43,914,600"
"Jan 19, 2018",32.79,35.52,29.57,33.52,"1,317,430","42,495,100"
