Date,Open,High,Low,Close,Volume,Market Cap
"Feb 20, 2018",17.72,20.20,17.71,18.40,"109,202,000","1,808,000,000"
"Feb 19, 2018",16.49,18.37,16.32,17.69,"54,814,700","1,682,870,000"
"Feb 18, 2018",18.32,18.41,16.35,16.66,"42,287,800","1,869,770,000"
"Feb 17, 2018",18.17,18.64,17.69,18.29,"59,295,600","1,853,770,000"
"Feb 16, 2018",16.67,18.23,16.03,18.17,"81,337,500","1,701,370,000"
"Feb 15, 2018",15.63,16.71,14.99,16.67,"54,142,700","1,594,790,000"
"Feb 14, 2018",12.97,15.72,12.97,15.66,"91,650,800","1,323,570,000"
"Feb 13, 2018",12.88,13.06,12.31,12.99,"23,326,000","1,314,360,000"
"Feb 12, 2018",11.95,13.00,11.93,12.84,"24,588,600","1,219,240,000"
"Feb 11, 2018",12.54,12.67,11.06,11.86,"29,981,600","1,279,750,000"
"Feb 10, 2018",13.20,13.88,11.93,12.51,"43,385,500","1,346,830,000"
"Feb 09, 2018",12.21,13.21,11.56,13.20,"41,973,800","1,246,080,000"
"Feb 08, 2018",10.88,12.26,10.88,11.89,"31,563,700","1,110,480,000"
"Feb 07, 2018",11.32,12.55,10.17,10.90,"36,639,600","1,155,150,000"
"Feb 06, 2018",9.31,11.39,7.39,11.37,"56,968,000","949,742,000"
"Feb 05, 2018",11.92,12.68,8.75,9.27,"45,236,500","1,216,630,000"
"Feb 04, 2018",14.09,14.16,11.72,12.06,"36,225,800","1,437,590,000"
"Feb 03, 2018",13.35,14.30,12.20,14.05,"31,593,400","1,362,480,000"
"Feb 02, 2018",13.97,13.97,10.54,13.25,"62,454,300","1,425,460,000"
"Feb 01, 2018",15.85,15.95,13.25,13.99,"60,157,800","1,617,380,000"
"Jan 31, 2018",14.90,15.85,14.16,15.74,"71,504,300","1,520,480,000"
"Jan 30, 2018",16.89,17.86,14.67,14.92,"96,893,300","1,723,530,000"
"Jan 29, 2018",17.15,17.35,16.04,16.91,"46,635,600","1,750,090,000"
"Jan 28, 2018",16.06,17.29,15.77,17.09,"83,798,900","1,638,530,000"
"Jan 27, 2018",16.60,16.77,15.79,15.98,"99,130,000","1,693,910,000"
"Jan 26, 2018",17.93,18.58,14.93,16.58,"145,709,000","1,829,140,000"
"Jan 25, 2018",18.05,19.12,16.67,17.96,"79,337,500","1,841,760,000"
"Jan 24, 2018",16.05,18.50,15.48,17.85,"72,241,700","1,637,570,000"
"Jan 23, 2018",15.66,16.62,14.30,16.05,"58,931,400","1,597,700,000"
"Jan 22, 2018",17.14,17.96,14.22,15.66,"70,101,200","1,748,670,000"
"Jan 21, 2018",19.74,19.74,16.41,16.97,"55,861,100","2,013,840,000"
"Jan 20, 2018",18.63,19.95,18.63,19.71,"89,103,800","1,901,100,000"
"Jan 19, 2018",17.62,18.94,17.08,18.43,"72,477,800","1,798,360,000"
"Jan 18, 2018",18.23,19.45,17.16,17.73,"87,971,600","1,860,280,000"
"Jan 17, 2018",17.30,18.91,12.41,18.06,"114,904,000","1,765,470,000"
"Jan 16, 2018",22.50,22.50,13.91,17.38,"132,224,000","2,296,440,000"
"Jan 15, 2018",23.70,24.62,22.46,22.46,"91,802,400","2,418,190,000"
"Jan 14, 2018",25.72,25.81,22.24,23.83,"74,017,300","2,624,620,000"
"Jan 13, 2018",22.83,26.07,22.66,25.72,"120,921,000","2,329,570,000"
"Jan 12, 2018",21.70,23.18,20.85,22.84,"83,835,500","2,214,090,000"
"Jan 11, 2018",23.46,23.82,19.34,21.66,"122,602,000","2,393,480,000"
"Jan 10, 2018",25.40,25.40,21.90,23.35,"137,934,000","2,591,750,000"
"Jan 09, 2018",23.84,26.11,22.92,25.29,"191,509,000","2,432,850,000"
"Jan 08, 2018",24.39,28.35,20.69,23.89,"382,895,000","2,489,290,000"
"Jan 07, 2018",19.31,24.41,19.28,24.41,"250,609,000","1,970,170,000"
"Jan 06, 2018",18.70,19.76,18.12,19.31,"99,421,600","1,908,510,000"
"Jan 05, 2018",19.81,20.40,18.12,18.69,"138,393,000","2,021,050,000"
"Jan 04, 2018",20.60,21.94,19.63,19.93,"150,260,000","2,101,860,000"
"Jan 03, 2018",20.15,20.98,19.07,20.54,"139,039,000","2,055,970,000"
"Jan 02, 2018",19.34,22.24,18.73,20.30,"229,553,000","1,973,980,000"
"Jan 01, 2018",19.60,20.99,18.25,19.33,"166,860,000","1,999,550,000"
"Dec 31, 2017",16.01,21.61,15.46,19.89,"349,531,000","1,634,170,000"
"Dec 30, 2017",15.95,16.57,13.02,16.57,"124,915,000","1,627,310,000"
"Dec 29, 2017",15.16,16.71,14.54,16.02,"121,258,000","1,547,150,000"
"Dec 28, 2017",15.00,15.17,13.03,15.09,"69,410,700","1,530,370,000"
"Dec 27, 2017",15.25,15.78,14.22,15.04,"65,350,300","1,555,920,000"
"Dec 26, 2017",15.60,16.20,14.57,15.24,"89,081,800","1,591,610,000"
