Date,Open,High,Low,Close,Volume,Market Cap
"Feb 20, 2018",32.72,33.41,31.02,31.11,"203,359,000","2,417,680,000"
"Feb 19, 2018",31.41,32.93,31.19,32.66,"197,224,000","2,321,060,000"
"Feb 18, 2018",33.47,33.68,29.97,31.24,"181,070,000","2,473,010,000"
"Feb 17, 2018",33.17,33.69,32.67,33.56,"178,525,000","2,450,940,000"
"Feb 16, 2018",33.03,33.95,31.99,33.02,"166,522,000","2,440,380,000"
"Feb 15, 2018",32.42,33.53,31.91,33.06,"222,910,000","2,394,940,000"
"Feb 14, 2018",30.04,32.62,29.99,32.55,"334,300,000","2,219,240,000"
"Feb 13, 2018",30.21,30.46,28.55,30.11,"242,714,000","2,231,570,000"
"Feb 12, 2018",27.58,30.81,27.58,30.13,"212,954,000","2,037,250,000"
"Feb 11, 2018",30.21,30.21,26.26,27.48,"258,212,000","2,231,910,000"
"Feb 10, 2018",30.83,34.59,29.09,30.27,"421,275,000","2,277,460,000"
"Feb 09, 2018",27.79,31.59,25.98,31.16,"618,154,000","2,052,790,000"
"Feb 08, 2018",21.95,27.38,21.95,26.48,"276,759,000","1,621,640,000"
"Feb 07, 2018",24.09,24.53,20.99,21.78,"238,850,000","1,779,020,000"
"Feb 06, 2018",20.93,24.32,16.67,24.05,"386,634,000","1,545,600,000"
"Feb 05, 2018",26.24,26.76,19.64,20.54,"200,730,000","1,937,850,000"
"Feb 04, 2018",29.72,30.68,25.38,26.19,"219,327,000","2,195,080,000"
"Feb 03, 2018",30.39,31.62,25.77,29.93,"305,047,000","2,244,470,000"
"Feb 02, 2018",35.56,35.56,22.31,30.26,"566,508,000","2,626,060,000"
"Feb 01, 2018",42.10,42.10,34.71,35.68,"371,498,000","3,108,800,000"
"Jan 31, 2018",37.30,42.38,34.62,42.12,"437,472,000","2,754,250,000"
"Jan 30, 2018",43.60,43.64,36.71,37.33,"275,840,000","3,219,350,000"
"Jan 29, 2018",43.84,45.51,42.33,43.41,"412,998,000","3,236,940,000"
"Jan 28, 2018",39.74,44.08,39.74,43.76,"346,952,000","2,934,440,000"
"Jan 27, 2018",39.77,40.48,38.15,39.58,"228,016,000","2,936,640,000"
"Jan 26, 2018",40.41,41.73,35.83,39.70,"378,512,000","2,983,480,000"
"Jan 25, 2018",40.93,41.98,39.68,40.72,"330,419,000","3,021,830,000"
"Jan 24, 2018",39.05,42.40,38.25,40.51,"412,605,000","2,883,110,000"
"Jan 23, 2018",40.03,41.09,35.62,39.15,"455,691,000","2,955,640,000"
"Jan 22, 2018",43.19,43.95,36.59,39.97,"665,031,000","3,188,600,000"
"Jan 21, 2018",51.71,51.79,40.91,42.82,"1,472,770,000","3,817,440,000"
